Código,Nome
MGLU3,Magazine Luiza
NTCO3,Natura
VIIA3,Via
HAPV3,Hapvida
PETR4,Petrobras
BBDC4,Banco Bradesco
B3SA3,B3
PRIO3,PetroRio
AMER3,Americanas
COGN3,Cogna
CVCB3,CVC
ABEV3,Ambev
ITUB4,Itaú Unibanco
LREN3,Lojas Renner
CIEL3,Cielo
RAIZ4,Raízen
VALE3,Vale
CBAV3,CBA
BRFS3,BRF
CPLE6,COPEL
CCRO3,Grupo CCR
CASH3,Méliuz
SOMA3,Grupo Soma
LIGT3,Light
SEQL3,Sequoia Logística
RAIL3,Rumo
ASAI3,Assaí
STBP3,Santos Brasil
CSAN3,Cosan
MRFG3,Marfrig
GMAT3,Grupo Mateus
ITSA4,Itaúsa
USIM5,Usiminas
CMIG4,CEMIG
TIMS3,TIM
AZUL4,Azul
GOLL4,GOL
HYPE3,Hypera
BEEF3,Minerva
GGBR4,Gerdau
JBSS3,JBS
BBAS3,Banco do Brasil
CMIN3,CSN Mineração
ANIM3,Ânima Educação
RRRP3,3R Petroleum
VIVR3,Viver
CEAB3,C&A
UGPA3,Ultrapar
RDOR3,Rede D'Or
OIBR3,Oi
PETR3,Petrobras
RADL3,RaiaDrogasil
ENEV3,Eneva
EQTL3,Equatorial Energia
RENT3,Localiza
CSNA3,Siderúrgica Nacional
MRVE3,MRV
DXCO3,Dexco
LWSA3,Locaweb
HBSA3,Hidrovias do Brasil
WEGE3,WEG
POMO4,Marcopolo
MLAS3,Multilaser
BBSE3,BB Seguridade
AMAR3,Lojas Marisa
GOAU4,Metalúrgica Gerdau
VBBR3,Vibra Energia
PETZ3,Petz
ECOR3,EcoRodovias
ESPA3,Espaçolaser
ALPA4,Alpargatas
EMBR3,Embraer
QUAL3,Qualicorp
ELET3,Eletrobras
SUZB3,Suzano
MOVI3,Movida
TOTS3,Totvs
CRFB3,Carrefour Brasil
CYRE3,Cyrela
ALSO3,Aliansce Sonae
BBDC3,Banco Bradesco
ODPV3,Odontoprev
SIMH3,Simpar
LJQQ3,Lojas Quero-Quero
KLBN4,Klabin
FLRY3,Fleury
AERI3,Aeris
SAPR4,Sanepar
SBFG3,Grupo SBF
YDUQ3,YDUQS
INTB3,Intelbras
ONCO3,Oncoclínicas
MULT3,Multiplan
